"","name.cell_line","name.virus","code","genome_coverage"
"31","A431","Human endogenous retrovirus K113 complete genome","NC_022518.1",70.978
"32","PC14","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.97
"33","CL40","Human endogenous retrovirus K113 complete genome","NC_022518.1",34.681
"34","HS870T","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.933
"35","IMR32","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.37
"36","HBL100","Human endogenous retrovirus K113 complete genome","NC_022518.1",41.649
"37","LK2","Human endogenous retrovirus K113 complete genome","NC_022518.1",31.155
"38","JJ012","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.298
"39","PL21","Human endogenous retrovirus K113 complete genome","NC_022518.1",70.059
"40","JHUEM2","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.695
"41","JVM3","Human endogenous retrovirus K113 complete genome","NC_022518.1",82.242
"42","NCIH2110","Human endogenous retrovirus K113 complete genome","NC_022518.1",96.548
"43","NCIH2405","Human endogenous retrovirus K113 complete genome","NC_022518.1",66.596
"44","TO175T","Human endogenous retrovirus K113 complete genome","NC_022518.1",28.547
"45","SW1271","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.891
"46","LAMA84","Human endogenous retrovirus K113 complete genome","NC_022518.1",63.492
"47","KNS60","Human endogenous retrovirus K113 complete genome","NC_022518.1",86.983
"48","KARPAS299","Human endogenous retrovirus K113 complete genome","NC_022518.1",53.336
"49","RD","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.509
"50","KU1919","Human endogenous retrovirus K113 complete genome","NC_022518.1",73.733
"51","MOLP2","Human endogenous retrovirus K113 complete genome","NC_022518.1",70.196
"52","GTL16","Human endogenous retrovirus K113 complete genome","NC_022518.1",22.836
"53","HCC202","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.507
"54","SW48","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.296
"55","HEC1A","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.036
"56","SNUC1","Human endogenous retrovirus K113 complete genome","NC_022518.1",68.095
"57","TT_THYROID","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.817
"58","SNU869","Human endogenous retrovirus K113 complete genome","NC_022518.1",75.021
"59","HCC2279","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.149
"60","HCC515","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.303
"61","RKN","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.145
"62","NCIH292","Human endogenous retrovirus K113 complete genome","NC_022518.1",84.111
"63","KMBC2","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.205
"64","OVCA420","Human endogenous retrovirus K113 complete genome","NC_022518.1",40.836
"65","SNU216","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.991
"66","SF539","Human endogenous retrovirus K113 complete genome","NC_022518.1",77.956
"67","SUM229PE","Human endogenous retrovirus K113 complete genome","NC_022518.1",48.585
"68","OCIM2","Human endogenous retrovirus K113 complete genome","NC_022518.1",32.411
"69","PANC0813","Human endogenous retrovirus K113 complete genome","NC_022518.1",47.023
"70","HT1080","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.63
"71","SNU886","Human endogenous retrovirus K113 complete genome","NC_022518.1",84.027
"72","NCIH69","Human endogenous retrovirus K113 complete genome","NC_022518.1",31.482
"73","G122","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.826
"74","MKN45","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.172
"75","U118MG","Human endogenous retrovirus K113 complete genome","NC_022518.1",68.011
"76","SNU475","Human endogenous retrovirus K113 complete genome","NC_022518.1",77.47
"77","SUDHL10","Human endogenous retrovirus K113 complete genome","NC_022518.1",29.487
"78","PANC1","Human endogenous retrovirus K113 complete genome","NC_022518.1",49.335
"79","NIHOVCAR3","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.518
"80","PECAPJ34CLONEC12","Human endogenous retrovirus K113 complete genome","NC_022518.1",46.801
"81","OVCA429","Human endogenous retrovirus K113 complete genome","NC_022518.1",34.005
"82","A549","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.879
"83","HT144","Human endogenous retrovirus K113 complete genome","NC_022518.1",85.462
"84","CAL12T","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.97
"85","MCF10DCISCOM","Human endogenous retrovirus K113 complete genome","NC_022518.1",72.097
"86","HCC1319","Human endogenous retrovirus K113 complete genome","NC_022518.1",72.287
"87","TE4","Human endogenous retrovirus K113 complete genome","NC_022518.1",17.082
"88","RERFLCKJ","Human endogenous retrovirus K113 complete genome","NC_022518.1",90.942
"89","HN","Human endogenous retrovirus K113 complete genome","NC_022518.1",56.715
"90","NCIH2085","Human endogenous retrovirus K113 complete genome","NC_022518.1",72.899
"91","VMRCRCZ","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.035
"92","MDAMB415","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.848
"93","MUTZ3","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.158
"94","RERFLCMS","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.891
"95","PE01","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.444
"96","COLO792","Human endogenous retrovirus K113 complete genome","NC_022518.1",96.917
"97","NCIH1770","Human endogenous retrovirus K113 complete genome","NC_022518.1",28.885
"98","SKHEP1","Human endogenous retrovirus K113 complete genome","NC_022518.1",79.065
"99","BICR16","Human endogenous retrovirus K113 complete genome","NC_022518.1",51.953
"100","ABC1","Human endogenous retrovirus K113 complete genome","NC_022518.1",29.856
"101","ISTMES2","Human endogenous retrovirus K113 complete genome","NC_022518.1",32.876
"102","OVCAR433","Human endogenous retrovirus K113 complete genome","NC_022518.1",28.199
"103","HEPG2","Human endogenous retrovirus K113 complete genome","NC_022518.1",30.479
"104","KARPAS1106P","Human endogenous retrovirus K113 complete genome","NC_022518.1",20.323
"105","SW1088","Human endogenous retrovirus K113 complete genome","NC_022518.1",71.907
"106","CAL120","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.753
"107","CPCN","Human endogenous retrovirus K113 complete genome","NC_022518.1",41.427
"108","IGROV1","Human endogenous retrovirus K113 complete genome","NC_022518.1",99.113
"109","SET2","Human endogenous retrovirus K113 complete genome","NC_022518.1",73.501
"110","JURKATCLONEE61","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.009
"111","COLO201","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.402
"112","AGS","Human endogenous retrovirus K113 complete genome","NC_022518.1",30.458
"113","OAW28","Human endogenous retrovirus K113 complete genome","NC_022518.1",17.937
"114","KHM1B","Human endogenous retrovirus K113 complete genome","NC_022518.1",40.583
"115","KS1","Human endogenous retrovirus K113 complete genome","NC_022518.1",52.924
"116","BCP1","Human endogenous retrovirus K113 complete genome","NC_022518.1",67.473
"117","SBC5","Human endogenous retrovirus K113 complete genome","NC_022518.1",66.639
"118","HCC366","Human endogenous retrovirus K113 complete genome","NC_022518.1",75.454
"119","ME1","Human endogenous retrovirus K113 complete genome","NC_022518.1",48.29
"120","SF268","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.423
"121","RERFLCOK","Human endogenous retrovirus K113 complete genome","NC_022518.1",63.482
"122","HEC151","Human endogenous retrovirus K113 complete genome","NC_022518.1",60.03
"123","LS123","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.085
"124","CALU1","Human endogenous retrovirus K113 complete genome","NC_022518.1",59.871
"125","MFE280","Human endogenous retrovirus K113 complete genome","NC_022518.1",45.861
"126","NCIH2810","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.645
"127","TE15","Human endogenous retrovirus K113 complete genome","NC_022518.1",77.777
"128","HCC1395","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.527
"129","KELLY","Human endogenous retrovirus K113 complete genome","NC_022518.1",49.599
"130","RDES","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.022
"131","COLO320","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.747
"132","L363","Human endogenous retrovirus K113 complete genome","NC_022518.1",82.812
"133","HCC2688","Human endogenous retrovirus K113 complete genome","NC_022518.1",71.569
"134","A2058","Human endogenous retrovirus K113 complete genome","NC_022518.1",47.92
"135","JHH2","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.772
"136","SKNDZ","Human endogenous retrovirus K113 complete genome","NC_022518.1",47.593
"137","NCIH1573","Human endogenous retrovirus K113 complete genome","NC_022518.1",86.402
"138","MFM223","Human endogenous retrovirus K113 complete genome","NC_022518.1",22.213
"139","HS281T","Human endogenous retrovirus K113 complete genome","NC_022518.1",71.41
"140","SNU1105","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.72
"141","SNU8","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.747
"142","TALL1","Human endogenous retrovirus K113 complete genome","NC_022518.1",89.495
"143","J82","Human endogenous retrovirus K113 complete genome","NC_022518.1",52.914
"144","EPLC272H","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.875
"145","OAW42","Human endogenous retrovirus K113 complete genome","NC_022518.1",26.299
"146","MDAMB436","Human endogenous retrovirus K113 complete genome","NC_022518.1",75.359
"147","KP3","Human endogenous retrovirus K113 complete genome","NC_022518.1",70.566
"148","JHOM2B","Human endogenous retrovirus K113 complete genome","NC_022518.1",75.253
"149","G402","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.025
"150","RI1","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.063
"151","NCIH1793","Human endogenous retrovirus K113 complete genome","NC_022518.1",99.62
"152","IM95M","Human endogenous retrovirus K113 complete genome","NC_022518.1",60.22
"153","RERFGC1B","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.878
"154","HS742T","Human endogenous retrovirus K113 complete genome","NC_022518.1",38.017
"155","HCC1428","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.141
"156","D341MED","Human endogenous retrovirus K113 complete genome","NC_022518.1",67.779
"157","OUMS23","Human endogenous retrovirus K113 complete genome","NC_022518.1",62.247
"158","ZR751","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.382
"159","LOXIMVI","Human endogenous retrovirus K113 complete genome","NC_022518.1",62.057
"160","A172","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.141
"161","KPNRTBM1","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.177
"162","CAL29","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.241
"163","CAKI2","Human endogenous retrovirus K113 complete genome","NC_022518.1",81.503
"164","PLCPRF5","Human endogenous retrovirus K113 complete genome","NC_022518.1",84.998
"165","A4FUK","Human endogenous retrovirus K113 complete genome","NC_022518.1",52.534
"166","RMGI","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.138
"167","HCC1493","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.384
"168","KYSE70","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.716
"169","YD10B","Human endogenous retrovirus K113 complete genome","NC_022518.1",20.228
"170","DETROIT562","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.749
"171","A3KAW","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.738
"172","NCIH2291","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.932
"173","MOLP8","Human endogenous retrovirus K113 complete genome","NC_022518.1",24.155
"174","GP2D","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.357
"175","TT2609C02","Human endogenous retrovirus K113 complete genome","NC_022518.1",26.964
"176","JHH1","Human endogenous retrovirus K113 complete genome","NC_022518.1",79.783
"177","SNU5","Human endogenous retrovirus K113 complete genome","NC_022518.1",82.38
"178","KMRC1","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.741
"179","GOS3","Human endogenous retrovirus K113 complete genome","NC_022518.1",40.192
"180","DU4475","Human endogenous retrovirus K113 complete genome","NC_022518.1",24.789
"181","MDAMB231","Human endogenous retrovirus K113 complete genome","NC_022518.1",55.068
"182","COLO849","Human endogenous retrovirus K113 complete genome","NC_022518.1",50.243
"183","SCABER","Human endogenous retrovirus K113 complete genome","NC_022518.1",66.924
"184","RKO","Human endogenous retrovirus K113 complete genome","NC_022518.1",39.569
"185","KYSE140","Human endogenous retrovirus K113 complete genome","NC_022518.1",83.277
"186","SNU61","Human endogenous retrovirus K113 complete genome","NC_022518.1",41.712
"187","COV504","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.604
"188","G59","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.742
"189","FTC238","Human endogenous retrovirus K113 complete genome","NC_022518.1",73.585
"190","HUG1N","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.255
"191","ONCODG1","Human endogenous retrovirus K113 complete genome","NC_022518.1",77.069
"192","NCIH2722","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.508
"193","COV362","Human endogenous retrovirus K113 complete genome","NC_022518.1",23.342
"194","DV90","Human endogenous retrovirus K113 complete genome","NC_022518.1",91.1
"195","EFE184","Human endogenous retrovirus K113 complete genome","NC_022518.1",89.105
"196","P12ICHIKAWA","Human endogenous retrovirus K113 complete genome","NC_022518.1",76.066
"197","NCIH358","Human endogenous retrovirus K113 complete genome","NC_022518.1",62.268
"198","TYKNUCPR","Human endogenous retrovirus K113 complete genome","NC_022518.1",51.615
"199","G142","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.795
"200","KE37","Human endogenous retrovirus K113 complete genome","NC_022518.1",57.105
"201","MONOMAC1","Human endogenous retrovirus K113 complete genome","NC_022518.1",26.394
"202","NCIH1385","Human endogenous retrovirus K113 complete genome","NC_022518.1",60.051
"203","NCIH322T","Human endogenous retrovirus K113 complete genome","NC_022518.1",38.176
"204","SNU410","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.414
"205","HT1197","Human endogenous retrovirus K113 complete genome","NC_022518.1",88.587
"206","CI1","Human endogenous retrovirus K113 complete genome","NC_022518.1",22.445
"207","EFM19","Human endogenous retrovirus K113 complete genome","NC_022518.1",42.124
"208","CORL95","Human endogenous retrovirus K113 complete genome","NC_022518.1",20.281
"209","KATOIII","Human endogenous retrovirus K113 complete genome","NC_022518.1",45.524
"210","NCIH1930","Human endogenous retrovirus K113 complete genome","NC_022518.1",51.689
"211","UMUC3","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.669
"212","CAOV3","Human endogenous retrovirus K113 complete genome","NC_022518.1",47.92
"213","HCC1438","Human endogenous retrovirus K113 complete genome","NC_022518.1",68.75
"214","KLE","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.877
"215","MDAMB330","Human endogenous retrovirus K113 complete genome","NC_022518.1",28.505
"216","COLO783","Human endogenous retrovirus K113 complete genome","NC_022518.1",78.737
"217","OCUM1","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.086
"218","HT55","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.834
"219","G292CLONEA141B1","Human endogenous retrovirus K113 complete genome","NC_022518.1",57.073
"220","SUDHL8","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.742
"221","HT29","Human endogenous retrovirus K113 complete genome","NC_022518.1",51.753
"222","HCC15","Human endogenous retrovirus K113 complete genome","NC_022518.1",42.715
"223","HS746T","Human endogenous retrovirus K113 complete genome","NC_022518.1",30.015
"224","FTC133","Human endogenous retrovirus K113 complete genome","NC_022518.1",17.62
"225","NCIH1694","Human endogenous retrovirus K113 complete genome","NC_022518.1",9.174
"226","CL34","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.895
"227","KNS42","Human endogenous retrovirus K113 complete genome","NC_022518.1",46.886
"228","SNU349","Human endogenous retrovirus K113 complete genome","NC_022518.1",93.148
"229","KU812","Human endogenous retrovirus K113 complete genome","NC_022518.1",45.323
"230","HCC4017","Human endogenous retrovirus K113 complete genome","NC_022518.1",68.613
"231","LOUCY","Human endogenous retrovirus K113 complete genome","NC_022518.1",73.913
"232","SH4","Human endogenous retrovirus K113 complete genome","NC_022518.1",97.709
"233","G112","Human endogenous retrovirus K113 complete genome","NC_022518.1",70.809
"234","TF1","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.264
"235","HCC95","Human endogenous retrovirus K113 complete genome","NC_022518.1",14.094
"236","NCIH146","Human endogenous retrovirus K113 complete genome","NC_022518.1",52.249
"237","K562","Human endogenous retrovirus K113 complete genome","NC_022518.1",53.547
"238","SK23","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.552
"239","EKVX","Human endogenous retrovirus K113 complete genome","NC_022518.1",95.988
"240","HSSULTAN","Human endogenous retrovirus K113 complete genome","NC_022518.1",17.663
"241","CMLT1","Human endogenous retrovirus K113 complete genome","NC_022518.1",73.67
"242","YMB1E","Human endogenous retrovirus K113 complete genome","NC_022518.1",51.911
"243","HEL","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.435
"244","KASUMI1","Human endogenous retrovirus K113 complete genome","NC_022518.1",39.369
"245","NCIH1355","Human endogenous retrovirus K113 complete genome","NC_022518.1",60.842
"246","OVTOKO","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.06
"247","8505C","Human endogenous retrovirus K113 complete genome","NC_022518.1",57.337
"248","MC116","Human endogenous retrovirus K113 complete genome","NC_022518.1",41.765
"249","GRM","Human endogenous retrovirus K113 complete genome","NC_022518.1",67.378
"250","SNGM","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.465
"251","NCIH345","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.265
"252","EB2","Human endogenous retrovirus K113 complete genome","NC_022518.1",67.019
"253","HMCB","Human endogenous retrovirus K113 complete genome","NC_022518.1",12.226
"254","CW2","Human endogenous retrovirus K113 complete genome","NC_022518.1",14.611
"255","HUH7","Human endogenous retrovirus K113 complete genome","NC_022518.1",29.244
"256","HSC2","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.158
"257","DU145","Human endogenous retrovirus K113 complete genome","NC_022518.1",65.118
"258","SEM","Human endogenous retrovirus K113 complete genome","NC_022518.1",33.245
"259","CORL47","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.117
"260","LS411N","Human endogenous retrovirus K113 complete genome","NC_022518.1",50.929
"261","CORL26","Human endogenous retrovirus K113 complete genome","NC_022518.1",76.478
"262","KOPN8","Human endogenous retrovirus K113 complete genome","NC_022518.1",34.628
"263","HS695T","Human endogenous retrovirus K113 complete genome","NC_022518.1",58.245
"264","2313287","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.726
"265","HEC50B","Human endogenous retrovirus K113 complete genome","NC_022518.1",76.045
"266","8305C","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.221
"267","RH41","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.985
"268","CALU3","Human endogenous retrovirus K113 complete genome","NC_022518.1",83.984
"269","SKNBE2","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.167
"270","REC1","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.515
"271","SNU719","Human endogenous retrovirus K113 complete genome","NC_022518.1",81.493
"272","DKMG","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.754
"273","HS840T","Human endogenous retrovirus K113 complete genome","NC_022518.1",53.03
"274","L428","Human endogenous retrovirus K113 complete genome","NC_022518.1",29.614
"275","NCIH660","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.12
"276","SW1417","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.835
"277","NCIH684","Human endogenous retrovirus K113 complete genome","NC_022518.1",57.95
"278","CHL1","Human endogenous retrovirus K113 complete genome","NC_022518.1",22.751
"279","MG63","Human endogenous retrovirus K113 complete genome","NC_022518.1",56.092
"280","697","Human endogenous retrovirus K113 complete genome","NC_022518.1",44.679
"281","HCC2911","Human endogenous retrovirus K113 complete genome","NC_022518.1",34.438
"282","NCIH1975","Human endogenous retrovirus K113 complete genome","NC_022518.1",80.923
"283","UKE1","Human endogenous retrovirus K113 complete genome","NC_022518.1",28.421
"284","GI1","Human endogenous retrovirus K113 complete genome","NC_022518.1",63.862
"285","NCIH716","Human endogenous retrovirus K113 complete genome","NC_022518.1",39.865
"286","MDAMB175VII","Human endogenous retrovirus K113 complete genome","NC_022518.1",45.693
"287","THP1","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.127
"288","HS936T","Human endogenous retrovirus K113 complete genome","NC_022518.1",36.645
"289","RT4","Human endogenous retrovirus K113 complete genome","NC_022518.1",42.684
"290","JHOM1","Human endogenous retrovirus K113 complete genome","NC_022518.1",71.326
"291","PF382","Human endogenous retrovirus K113 complete genome","NC_022518.1",72.287
"292","G141","Human endogenous retrovirus K113 complete genome","NC_022518.1",66.448
"293","COV644","Human endogenous retrovirus K113 complete genome","NC_022518.1",34.861
"294","SKMEL5","Human endogenous retrovirus K113 complete genome","NC_022518.1",63.788
"295","ACCMESO1","Human endogenous retrovirus K113 complete genome","NC_022518.1",70.524
"296","NTERA2","Human endogenous retrovirus K113 complete genome","NC_022518.1",81.883
"297","OVCA432","Human endogenous retrovirus K113 complete genome","NC_022518.1",60.536
"298","SNU626","Human endogenous retrovirus K113 complete genome","NC_022518.1",73.311
"299","BICR10","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.288
"300","HCC44","Human endogenous retrovirus K113 complete genome","NC_022518.1",52.587
"301","OVCAR4","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.201
"302","HCC60","Human endogenous retrovirus K113 complete genome","NC_022518.1",37.943
"303","HCC2157","Human endogenous retrovirus K113 complete genome","NC_022518.1",29.487
"304","BT20","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.077
"305","NCIH2087","Human endogenous retrovirus K113 complete genome","NC_022518.1",86.55
"306","KNS62","Human endogenous retrovirus K113 complete genome","NC_022518.1",47.149
"307","MDAMB157","Human endogenous retrovirus K113 complete genome","NC_022518.1",81.957
"308","MUTZ5","Human endogenous retrovirus K113 complete genome","NC_022518.1",41.776
"309","CORL88","Human endogenous retrovirus K113 complete genome","NC_022518.1",40.762
"310","NUDHL1","Human endogenous retrovirus K113 complete genome","NC_022518.1",46.886
"311","SKNSH","Human endogenous retrovirus K113 complete genome","NC_022518.1",62.743
"312","NCIH647","Human endogenous retrovirus K113 complete genome","NC_022518.1",75.517
"313","CAPAN2","Human endogenous retrovirus K113 complete genome","NC_022518.1",77.016
"314","ONS76","Human endogenous retrovirus K113 complete genome","NC_022518.1",81.609
"315","KMS28BM","Human endogenous retrovirus K113 complete genome","NC_022518.1",51.541
"316","NCIH460","Human endogenous retrovirus K113 complete genome","NC_022518.1",59.185
"317","QGP1","Human endogenous retrovirus K113 complete genome","NC_022518.1",37.912
"318","KYSE450","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.17
"319","SNU308","Human endogenous retrovirus K113 complete genome","NC_022518.1",82.517
"320","647V","Human endogenous retrovirus K113 complete genome","NC_022518.1",33.562
"321","NUGC4","Human endogenous retrovirus K113 complete genome","NC_022518.1",42.399
"322","BICR6","Human endogenous retrovirus K113 complete genome","NC_022518.1",15.72
"323","NCIH1734","Human endogenous retrovirus K113 complete genome","NC_022518.1",88.862
"324","TMD8","Human endogenous retrovirus K113 complete genome","NC_022518.1",22.403
"325","TUHR10TKB","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.337
"326","UACC812","Human endogenous retrovirus K113 complete genome","NC_022518.1",45.122
"327","SW948","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.084
"328","NCIH2172","Human endogenous retrovirus K113 complete genome","NC_022518.1",23.554
"329","COLO857","Human endogenous retrovirus K113 complete genome","NC_022518.1",62.204
"330","SNU685","Human endogenous retrovirus K113 complete genome","NC_022518.1",20.133
"331","SW780","Human endogenous retrovirus K113 complete genome","NC_022518.1",68.507
"332","T98G","Human endogenous retrovirus K113 complete genome","NC_022518.1",54.276
"333","COLO699","Human endogenous retrovirus K113 complete genome","NC_022518.1",99.219
"334","SNU1041","Human endogenous retrovirus K113 complete genome","NC_022518.1",77.449
"335","HCC4006","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.159
"336","HCC33","Human endogenous retrovirus K113 complete genome","NC_022518.1",35.399
"337","VMRCRCW","Human endogenous retrovirus K113 complete genome","NC_022518.1",83.773
"338","LU99","Human endogenous retrovirus K113 complete genome","NC_022518.1",46.875
"339","GDM1","Human endogenous retrovirus K113 complete genome","NC_022518.1",68.412
"340","SKMEL3","Human endogenous retrovirus K113 complete genome","NC_022518.1",63.123
"341","NCIH2009","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.12
"342","BT483","Human endogenous retrovirus K113 complete genome","NC_022518.1",64.559
"343","GAMG","Human endogenous retrovirus K113 complete genome","NC_022518.1",14.58
"344","SIMA","Human endogenous retrovirus K113 complete genome","NC_022518.1",39.094
"345","EOL1","Human endogenous retrovirus K113 complete genome","NC_022518.1",96.379
"346","HEYA8","Human endogenous retrovirus K113 complete genome","NC_022518.1",56.799
"347","OPM2","Human endogenous retrovirus K113 complete genome","NC_022518.1",89.749
"348","A2780","Human endogenous retrovirus K113 complete genome","NC_022518.1",71.273
"349","HCC12","Human endogenous retrovirus K113 complete genome","NC_022518.1",46.928
"350","HS606T","Human endogenous retrovirus K113 complete genome","NC_022518.1",61.582
"351","TCCPAN2","Human endogenous retrovirus K113 complete genome","NC_022518.1",25.528
"352","HEP2","Human endogenous retrovirus K113 complete genome","NC_022518.1",69.13
"353","RL952","Human endogenous retrovirus K113 complete genome","NC_022518.1",74.894
